song,artist,album,ms,genres
끝나지 않을 이야기,Stray Kids,Extraordinary You Pt.7 (Original Television Soundtrack),210246,"k-pop, k-pop boy group, pop"
Angel Or Devil,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,168122,"k-pop, k-pop boy group"
BOOMBAYAH - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA,0,"k-pop, k-pop girl group, pop"
Blue Orangeade,TOMORROW X TOGETHER,The Dream Chapter: STAR,185520,"k-pop, k-pop boy group"
STOP,Stray Kids,Clé : LEVANTER,7475,"k-pop, k-pop boy group, pop"
Levanter,Stray Kids,Clé : LEVANTER,48872,"k-pop, k-pop boy group, pop"
Booster,Stray Kids,Clé : LEVANTER,0,"k-pop, k-pop boy group, pop"
Astronaut,Stray Kids,Clé : LEVANTER,179008,"k-pop, k-pop boy group, pop"
Sunshine,Stray Kids,Clé : LEVANTER,166981,"k-pop, k-pop boy group, pop"
Nap of a star,TOMORROW X TOGETHER,The Dream Chapter: STAR,131237,"k-pop, k-pop boy group"
Poppin' Star,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,26673,"k-pop, k-pop boy group"
Magic Island,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,11998,"k-pop, k-pop boy group"
20cm,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,396,"k-pop, k-pop boy group"
Yummy,Justin Bieber,Yummy,131343,"canadian pop, pop"
Never Say Never,Justin Bieber,Never Say Never - The Remixes,227835,"canadian pop, pop"
Mixtape : Gone Days,Stray Kids,Mixtape : Gone Days,113091,"k-pop, k-pop boy group, pop"
You Can STAY,Stray Kids,Clé : LEVANTER,208443,"k-pop, k-pop boy group, pop"
DM,Matt Hunter,DM,168146,latin pop
Swing,Danny Ocean,54+1,22665,"pop venezolano, reggaeton, trap latino, urbano latino"
Cuando Me Acerco A Ti,Danny Ocean,54+1,157287,"pop venezolano, reggaeton, trap latino, urbano latino"
Levanter - English,Stray Kids,Step Out of Clé,192471,"k-pop, k-pop boy group, pop"
EYES,IZ*ONE,BLOOM*IZ,121034,"k-pop, k-pop girl group"
FIESTA,IZ*ONE,BLOOM*IZ,286905,"k-pop, k-pop girl group"
OPEN YOUR EYES,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
SOMEDAY,IZ*ONE,BLOOM*IZ,398,"k-pop, k-pop girl group"
PINK BLUSHER,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
DAYDREAM,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
YOU & I,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
DESTINY,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
SPACESHIP,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
SO CURIOUS,IZ*ONE,BLOOM*IZ,0,"k-pop, k-pop girl group"
AYAYAYA,IZ*ONE,BLOOM*IZ,1806,"k-pop, k-pop girl group"
DREAMLIKE,IZ*ONE,BLOOM*IZ,437,"k-pop, k-pop girl group"
FANCY - Japanese ver.,TWICE,Breakthrough,0,"k-pop, k-pop girl group, pop"
Dime tú,Danny Ocean,Dime tú,204111,"pop venezolano, reggaeton, trap latino, urbano latino"
Que Tire Pa Lante,Daddy Yankee,Que Tire Pa Lante,173725,"latin hip hop, reggaeton, trap latino, urbano latino"
God is a woman,Ariana Grande,Sweetener,197546,pop
que lo que,Danny Ocean,que lo que,124448,"pop venezolano, reggaeton, trap latino, urbano latino"
Veneno,Danny Ocean,54+1,222495,"pop venezolano, reggaeton, trap latino, urbano latino"
Muérdago - Commentary,Danny Ocean,54+1,23585,"pop venezolano, reggaeton, trap latino, urbano latino"
Tuyo Mía,Danny Ocean,54+1,16597,"pop venezolano, reggaeton, trap latino, urbano latino"
Wake Me Up,TWICE,BDZ,2993,"k-pop, k-pop girl group, pop"
I WANT YOU BACK,TWICE,BDZ,203815,"k-pop, k-pop girl group, pop"
What is Love,TWICE,Summer Nights,208237,"k-pop, k-pop girl group, pop"
SWING,TWICE,&TWICE,1316,"k-pop, k-pop girl group, pop"
SAY YOU LOVE ME,TWICE,YES or YES,19822,"k-pop, k-pop girl group, pop"
1 To 10,TWICE,Twicecoaster: Lane 1,23771,"k-pop, k-pop girl group, pop"
<3,Bad Bunny,YHLQMDLG,157967,"reggaeton, trap latino, urbano latino"
Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,19275,"reggaeton, trap latino, urbano latino"
Callaita,Bad Bunny,Callaita,198303,"reggaeton, trap latino, urbano latino"
goodnight n go,Ariana Grande,Sweetener,35170,pop
Intentions,Justin Bieber,Intentions,212868,"canadian pop, pop"
boyfriend (with Social House),Ariana Grande,boyfriend,186086,pop
Vete,Bad Bunny,YHLQMDLG,77880,"reggaeton, trap latino, urbano latino"
Bad To You (with Normani & Nicki Minaj),Ariana Grande,Charlie's Angels,3866,pop
needy,Ariana Grande,"thank u, next",6038,pop
NASA,Ariana Grande,"thank u, next",1811,pop
imagine,Ariana Grande,"thank u, next",212266,pop
MONOPOLY (with Victoria Monét),Ariana Grande,MONOPOLY,11418,pop
bad idea,Ariana Grande,"thank u, next",4421,pop
bloodline,Ariana Grande,"thank u, next",9418,pop
in my head,Ariana Grande,"thank u, next",74483,pop
fake smile,Ariana Grande,"thank u, next",906,pop
sweetener,Ariana Grande,Sweetener,2568,pop
everytime,Ariana Grande,Sweetener,6446,pop
ghostin,Ariana Grande,"thank u, next",94193,pop
raindrops (an angel cried),Ariana Grande,Sweetener,37640,pop
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",9527,pop
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,Charlie's Angels,4890,pop
R.E.M,Ariana Grande,Sweetener,1678,pop
Almost Is Never Enough,Ariana Grande,Yours Truly,1250,pop
make up,Ariana Grande,"thank u, next",4324,pop
successful,Ariana Grande,Sweetener,20712,pop
Safaera,Bad Bunny,YHLQMDLG,288792,"reggaeton, trap latino, urbano latino"
Báilame,Danny Ocean,54+1,46280,"pop venezolano, reggaeton, trap latino, urbano latino"
Dembow - Commentary,Danny Ocean,54+1,54000,"pop venezolano, reggaeton, trap latino, urbano latino"
Tel Aviv,Danny Ocean,54+1,215368,"pop venezolano, reggaeton, trap latino, urbano latino"
Vuelve - Commentary,Danny Ocean,54+1,93995,"pop venezolano, reggaeton, trap latino, urbano latino"
Babylon Girl,Danny Ocean,54+1,162666,"pop venezolano, reggaeton, trap latino, urbano latino"
Tel Aviv - Commentary,Danny Ocean,54+1,71983,"pop venezolano, reggaeton, trap latino, urbano latino"
Swing - Commentary,Danny Ocean,54+1,80000,"pop venezolano, reggaeton, trap latino, urbano latino"
Babylon Girl - Commentary,Danny Ocean,54+1,108000,"pop venezolano, reggaeton, trap latino, urbano latino"
Lovesick Girls,BLACKPINK,THE ALBUM,115020,"k-pop, k-pop girl group, pop"
Crazy Over You,BLACKPINK,THE ALBUM,28040,"k-pop, k-pop girl group, pop"
Love To Hate Me,BLACKPINK,THE ALBUM,169800,"k-pop, k-pop girl group, pop"
You Never Know,BLACKPINK,THE ALBUM,137343,"k-pop, k-pop girl group, pop"
God’s Menu,Stray Kids,GO LIVE,167922,"k-pop, k-pop boy group, pop"
Back Door,Stray Kids,IN LIFE,189286,"k-pop, k-pop boy group, pop"
Can't You See Me?,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,201445,"k-pop, k-pop boy group"
MORE & MORE,TWICE,MORE & MORE,199653,"k-pop, k-pop girl group, pop"
GO LIVE,Stray Kids,GO LIVE,6762,"k-pop, k-pop boy group, pop"
Phobia,Stray Kids,GO LIVE,212618,"k-pop, k-pop boy group, pop"
Hello Stranger,Stray Kids,POP OUT BOY! Part.1,239653,"k-pop, k-pop boy group, pop"
How You Like That,BLACKPINK,THE ALBUM,42947,"k-pop, k-pop girl group, pop"
Bet You Wanna (feat. Cardi B),BLACKPINK,THE ALBUM,256,"k-pop, k-pop girl group, pop"
Ice Cream (with Selena Gomez),BLACKPINK,THE ALBUM,175813,"k-pop, k-pop girl group, pop"
Pretty Savage,BLACKPINK,THE ALBUM,175138,"k-pop, k-pop girl group, pop"
Blueprint,Stray Kids,GO LIVE,251300,"k-pop, k-pop boy group, pop"
Airplane,Stray Kids,GO LIVE,214726,"k-pop, k-pop boy group, pop"
Awkward Silence,Stray Kids,SKZ2020,195320,"k-pop, k-pop boy group, pop"
TA,Stray Kids,GO LIVE,229011,"k-pop, k-pop boy group, pop"
I CAN'T STOP ME,TWICE,Eyes Wide Open,0,"k-pop, k-pop girl group, pop"
Ignorantes,Bad Bunny,YHLQMDLG,35990,"reggaeton, trap latino, urbano latino"
A Tu Merced,Bad Bunny,YHLQMDLG,175918,"reggaeton, trap latino, urbano latino"
Una Vez,Bad Bunny,YHLQMDLG,49235,"reggaeton, trap latino, urbano latino"
La Difícil,Bad Bunny,YHLQMDLG,79115,"reggaeton, trap latino, urbano latino"
Ghosting,TOMORROW X TOGETHER,minisode1 : Blue Hour,83,"k-pop, k-pop boy group"
Blue Hour,TOMORROW X TOGETHER,minisode1 : Blue Hour,209105,"k-pop, k-pop boy group"
We Lost The Summer,TOMORROW X TOGETHER,minisode1 : Blue Hour,15054,"k-pop, k-pop boy group"
Wishlist,TOMORROW X TOGETHER,minisode1 : Blue Hour,13603,"k-pop, k-pop boy group"
Pero Ya No,Bad Bunny,YHLQMDLG,160637,"reggaeton, trap latino, urbano latino"
La Santa,Bad Bunny,YHLQMDLG,206420,"reggaeton, trap latino, urbano latino"
Yo Perreo Sola,Bad Bunny,YHLQMDLG,172127,"reggaeton, trap latino, urbano latino"
Bichiyal,Bad Bunny,YHLQMDLG,94915,"reggaeton, trap latino, urbano latino"
Way Home,TOMORROW X TOGETHER,minisode1 : Blue Hour,0,"k-pop, k-pop boy group"
ALL IN,Stray Kids,ALL IN,187186,"k-pop, k-pop boy group, pop"
FAM,Stray Kids,ALL IN,113843,"k-pop, k-pop boy group, pop"
Any,Stray Kids,IN LIFE,169140,"k-pop, k-pop boy group, pop"
Haven,Stray Kids,IN LIFE,8851,"k-pop, k-pop boy group, pop"
B Me,Stray Kids,IN LIFE,205102,"k-pop, k-pop boy group, pop"
Ex,Stray Kids,IN LIFE,217225,"k-pop, k-pop boy group, pop"
"We Go (Bang Chan, Changbin, HAN)",Stray Kids,IN LIFE,28184,"k-pop, k-pop boy group, pop"
Easy,Stray Kids,GO LIVE,183134,"k-pop, k-pop boy group, pop"
Pacemaker,Stray Kids,GO LIVE,190602,"k-pop, k-pop boy group, pop"
Another Day,Stray Kids,GO LIVE,166968,"k-pop, k-pop boy group, pop"
"Wow (Lee Know, Hyunjin, Felix)",Stray Kids,IN LIFE,2720,"k-pop, k-pop boy group, pop"
"My Universe (Seungmin, I.N Feat. Changbin)",Stray Kids,IN LIFE,4882,"k-pop, k-pop boy group, pop"
"TOP (""Tower of God"" OP)",Stray Kids,GO LIVE,185552,"k-pop, k-pop boy group, pop"
"SLUMP (""Tower of God"" ED)",Stray Kids,GO LIVE,26888,"k-pop, k-pop boy group, pop"
The Tortoise and the Hare,Stray Kids,IN LIFE,224365,"k-pop, k-pop boy group, pop"
Spread My Wings,Stray Kids,SKZ2020,202120,"k-pop, k-pop boy group, pop"
Hello Stranger (inst.),Stray Kids,POP OUT BOY! Part.1,24780,"k-pop, k-pop boy group, pop"
One Day,Stray Kids,ALL IN,32733,"k-pop, k-pop boy group, pop"
神メニュー -Japanese ver.-,Stray Kids,ALL IN,13240,"k-pop, k-pop boy group, pop"
Back Door -Japanese ver.-,Stray Kids,ALL IN,191360,"k-pop, k-pop boy group, pop"
TOP -Japanese ver.-,Stray Kids,ALL IN,188826,"k-pop, k-pop boy group, pop"
SLUMP -Japanese ver.-,Stray Kids,ALL IN,136116,"k-pop, k-pop boy group, pop"
Mixtape : On Track,Stray Kids,GO LIVE,208143,"k-pop, k-pop boy group, pop"
DÁKITI,Bad Bunny,DÁKITI,205080,"reggaeton, trap latino, urbano latino"
Don Don,Daddy Yankee,Don Don,9057,"latin hip hop, reggaeton, trap latino, urbano latino"
Beware,IZ*ONE,Twelve,37482,"k-pop, k-pop girl group"
Pretty,IZ*ONE,Oneiric Diary,199933,"k-pop, k-pop girl group"
Merry-Go-Round,IZ*ONE,Oneiric Diary,177726,"k-pop, k-pop girl group"
BETTER,TWICE,BETTER,225396,"k-pop, k-pop girl group, pop"
ANTES QUE SE ACABE,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,26747,"reggaeton, trap latino, urbano latino"
TE MUDASTE,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,4266,"reggaeton, trap latino, urbano latino"
HOY COBRÉ,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2374,"reggaeton, trap latino, urbano latino"
Panorama,IZ*ONE,One-reeler / Act IV,222853,"k-pop, k-pop girl group"
Secret Story of the Swan,IZ*ONE,Oneiric Diary,71725,"k-pop, k-pop girl group"
Mise-en-Scène,IZ*ONE,One-reeler / Act IV,199832,"k-pop, k-pop girl group"
Island,IZ*ONE,One-reeler / Act IV,85966,"k-pop, k-pop girl group"
Sequence,IZ*ONE,One-reeler / Act IV,190866,"k-pop, k-pop girl group"
O Sole Mio,IZ*ONE,One-reeler / Act IV,210320,"k-pop, k-pop girl group"
Slow Journey,IZ*ONE,One-reeler / Act IV,199135,"k-pop, k-pop girl group"
ALL IN (Korean Ver.),Stray Kids,ALL IN (Korean Ver.),141706,"k-pop, k-pop boy group, pop"
Fairy of Shampoo,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,7362,"k-pop, k-pop boy group"
With*One,IZ*ONE,Oneiric Diary,68478,"k-pop, k-pop girl group"
CRY FOR ME,TWICE,CRY FOR ME,204151,"k-pop, k-pop girl group, pop"
HELL IN HEAVEN,TWICE,Eyes Wide Open,82113,"k-pop, k-pop girl group, pop"
OXYGEN,TWICE,MORE & MORE,27913,"k-pop, k-pop girl group, pop"
Colors,IZ*ONE,COLOR*IZ,161536,"k-pop, k-pop girl group"
Yume wo Miteiru Aida - IZ*ONE Ver.,IZ*ONE,COLOR*IZ,8573,"k-pop, k-pop girl group"
D-D-DANCE,IZ*ONE,D-D-DANCE,180147,"k-pop, k-pop girl group"
Rococo,IZ*ONE,Oneiric Diary,374055,"k-pop, k-pop girl group"
Yummy Summer,IZ*ONE,Twelve,18949,"k-pop, k-pop girl group"
Welcome,IZ*ONE,Oneiric Diary,85125,"k-pop, k-pop girl group"
Love Bubble,IZ*ONE,Vampire,197786,"k-pop, k-pop girl group"
LA NOCHE DE ANOCHE,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,0,"reggaeton, trap latino, urbano latino"
Secret Story of the Swan - Japanese Version,IZ*ONE,Oneiric Diary,18293,"k-pop, k-pop girl group"
Merry-Go-Round - Japanese Version,IZ*ONE,Oneiric Diary,13978,"k-pop, k-pop girl group"
I CAN'T STOP ME (English Version),TWICE,I CAN'T STOP ME (English Version),205403,"k-pop, k-pop girl group, pop"
DDU-DU DDU-DU - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,210268,"k-pop, k-pop girl group, pop"
Forever Young - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,257417,"k-pop, k-pop girl group, pop"
STAY (Remix Version) - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,222959,"k-pop, k-pop girl group, pop"
WHISTLE - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,17176,"k-pop, k-pop girl group, pop"
As If It's Your Last - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,223438,"k-pop, k-pop girl group, pop"
WHISTLE (Remix Version) - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,194341,"k-pop, k-pop girl group, pop"
DDU DDU-DU (Remix Version) - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,3451,"k-pop, k-pop girl group, pop"
SOLO - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL,83127,"k-pop, k-pop girl group, pop"
AS IF IT’S YOUR LAST - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA,43530,"k-pop, k-pop girl group, pop"
BEWARE,Stray Kids,SKZ2020,190637,"k-pop, k-pop boy group, pop"
Grow Up,Stray Kids,SKZ2020,213021,"k-pop, k-pop boy group, pop"
One More Time,TWICE,One More Time,8866,"k-pop, k-pop girl group, pop"
Eye Eye Eyes,TWICE,SIGNAL,31614,"k-pop, k-pop girl group, pop"
Likey,TWICE,Twicetagram,207813,"k-pop, k-pop girl group, pop"
Heart Shaker,TWICE,Merry & Happy,226231,"k-pop, k-pop girl group, pop"
Signal,TWICE,SIGNAL,196674,"k-pop, k-pop girl group, pop"
Like Ooh-Ahh,TWICE,The Story Begins,215064,"k-pop, k-pop girl group, pop"
CHEER UP,TWICE,Page Two,208841,"k-pop, k-pop girl group, pop"
Knock Knock,TWICE,Twicecoaster: Lane 2,68164,"k-pop, k-pop girl group, pop"
DDU-DU DDU-DU - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA,41280,"k-pop, k-pop girl group, pop"
Drama - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,211720,"k-pop, k-pop boy group"
SLUMP - English Version,Stray Kids,TOP,1254,"k-pop, k-pop boy group, pop"
Kizombita Para Ti,Danny Ocean,54+1,146227,"pop venezolano, reggaeton, trap latino, urbano latino"
Kura Kura,TWICE,Kura Kura,353684,"k-pop, k-pop girl group, pop"
UP NO MORE,TWICE,Eyes Wide Open,214228,"k-pop, k-pop girl group, pop"
DO WHAT WE LIKE,TWICE,Eyes Wide Open,72437,"k-pop, k-pop girl group, pop"
BRING IT BACK,TWICE,Eyes Wide Open,11875,"k-pop, k-pop girl group, pop"
FIREWORK,TWICE,MORE & MORE,193466,"k-pop, k-pop girl group, pop"
MAKE ME GO,TWICE,MORE & MORE,186689,"k-pop, k-pop girl group, pop"
SHADOW,TWICE,MORE & MORE,168893,"k-pop, k-pop girl group, pop"
DON’T CALL ME AGAIN,TWICE,MORE & MORE,30915,"k-pop, k-pop girl group, pop"
SWEET SUMMER DAY,TWICE,MORE & MORE,191984,"k-pop, k-pop girl group, pop"
BELIEVER,TWICE,Eyes Wide Open,196946,"k-pop, k-pop girl group, pop"
QUEEN,TWICE,Eyes Wide Open,193573,"k-pop, k-pop girl group, pop"
GO HARD,TWICE,Eyes Wide Open,181520,"k-pop, k-pop girl group, pop"
SHOT CLOCK,TWICE,Eyes Wide Open,209480,"k-pop, k-pop girl group, pop"
HANDLE IT,TWICE,Eyes Wide Open,6000,"k-pop, k-pop girl group, pop"
DEPEND ON YOU,TWICE,Eyes Wide Open,198866,"k-pop, k-pop girl group, pop"
SAY SOMETHING,TWICE,Eyes Wide Open,147630,"k-pop, k-pop girl group, pop"
BEHIND THE MASK,TWICE,Eyes Wide Open,570,"k-pop, k-pop girl group, pop"
Strawberry Moon,TWICE,Kura Kura,0,"k-pop, k-pop girl group, pop"
Fanfare,TWICE,Fanfare,0,"k-pop, k-pop girl group, pop"
STUCK IN MY HEAD - Japanese ver.,TWICE,STUCK IN MY HEAD,4350,"k-pop, k-pop girl group, pop"
YO VISTO ASÍ,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,15893,"reggaeton, trap latino, urbano latino"
pov,Ariana Grande,Positions,0,pop
34+35,Ariana Grande,Positions,0,pop
WOLFGANG,Stray Kids,KINGDOM <FINAL : WHO IS THE KING?>,190683,"k-pop, k-pop boy group, pop"
Alcohol-Free,TWICE,Alcohol-Free,210573,"k-pop, k-pop girl group, pop"
Anti-Romantic,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,130368,"k-pop, k-pop boy group"
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,202200,"k-pop, k-pop boy group"
Magic,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,159749,"k-pop, k-pop boy group"
No Rules,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,10692,"k-pop, k-pop boy group"
Kill This Love - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,1970,"k-pop, k-pop girl group, pop"
Crazy Over You - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,15660,"k-pop, k-pop girl group, pop"
Pretty Savage - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,202010,"k-pop, k-pop girl group, pop"
BOOMBAYAH - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,221018,"k-pop, k-pop girl group, pop"
Love To Hate Me + You Never Know - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,148570,"k-pop, k-pop girl group, pop"
Candy Pop,TWICE,BDZ,202010,"k-pop, k-pop girl group, pop"
Conversation,TWICE,Taste of Love,24248,"k-pop, k-pop girl group, pop"
Vampire,IZ*ONE,Twelve,57321,"k-pop, k-pop girl group"
好きと言わせたい,IZ*ONE,Twelve,1030,"k-pop, k-pop girl group"
Waiting,IZ*ONE,Twelve,490,"k-pop, k-pop girl group"
好きになっちゃうだろう? - IZ*ONE Ver.,IZ*ONE,Twelve,130,"k-pop, k-pop girl group"
La Vie en Rose - Japanese Ver.,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
FIESTA - Japanese Ver.,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
Violeta - Japanese Ver.,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
どうすればいい?,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
夢を見ている間 - Japanese Ver. / IZ*ONE Ver.,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
Shy boy,IZ*ONE,Twelve,0,"k-pop, k-pop girl group"
君以外,IZ*ONE,Vampire,1690,"k-pop, k-pop girl group"
紫外線なんかぶっとばせ,IZ*ONE,Vampire,27683,"k-pop, k-pop girl group"
不機嫌Lucy,IZ*ONE,Vampire,12200,"k-pop, k-pop girl group"
Target,IZ*ONE,Buenos Aires,0,"k-pop, k-pop girl group"
年下Boyfriend,IZ*ONE,Buenos Aires,0,"k-pop, k-pop girl group"
Human Love,IZ*ONE,Buenos Aires,0,"k-pop, k-pop girl group"
Scandal,TWICE,Taste of Love,153106,"k-pop, k-pop girl group, pop"
PLAYING WITH FIRE - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA,60764,"k-pop, k-pop girl group, pop"
No Es Culpa Mía - Bonus Track,Daddy Yankee,Talento de Barrio,107556,"latin hip hop, reggaeton, trap latino, urbano latino"
Algo de Ti,Young Cister,Algo de Ti,1331,"trap chileno, urbano chileno"
Mixtape : OH,Stray Kids,Mixtape : OH,147917,"k-pop, k-pop boy group, pop"
Ice Cream,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,12020,"k-pop, k-pop boy group"
What if I had been that PUMA,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,672,"k-pop, k-pop boy group"
Dear Sputnik,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,620,"k-pop, k-pop boy group"
Frost,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,879,"k-pop, k-pop boy group"
永遠に光れ (Everlasting Shine),TOMORROW X TOGETHER,DRAMA,204,"k-pop, k-pop boy group"
Drama,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,85531,"k-pop, k-pop boy group"
Maze in the Mirror,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,1281,"k-pop, k-pop boy group"
PUMA,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,155877,"k-pop, k-pop boy group"
Eternally,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,1041,"k-pop, k-pop boy group"
Can't We Just Leave the Monster Alive?,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,755,"k-pop, k-pop boy group"
"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",TOMORROW X TOGETHER,"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",150206,"k-pop, k-pop boy group"
SIN TI,Young Cister,SIN TI,0,"trap chileno, urbano chileno"
Lovesick Girls - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,193005,"k-pop, k-pop girl group, pop"
How You Like That - Live,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,8361,"k-pop, k-pop girl group, pop"
To Be One (Intro.),Wanna One,1X1=1(TO BE ONE),1702,"k-pop, k-pop boy group"
Hablamos Mañana,Bad Bunny,YHLQMDLG,28175,"reggaeton, trap latino, urbano latino"
Definitivamente,Daddy Yankee,Definitivamente,217758,"latin hip hop, reggaeton, trap latino, urbano latino"
Muérdago,Danny Ocean,54+1,53860,"pop venezolano, reggaeton, trap latino, urbano latino"
Double Knot -Japanese ver.-,Stray Kids,Double Knot -Japanese ver.-,10270,"k-pop, k-pop boy group, pop"
Soliá,Bad Bunny,YHLQMDLG,159282,"reggaeton, trap latino, urbano latino"
La Zona,Bad Bunny,YHLQMDLG,136892,"reggaeton, trap latino, urbano latino"
Que Malo,Bad Bunny,YHLQMDLG,167974,"reggaeton, trap latino, urbano latino"
25/8,Bad Bunny,YHLQMDLG,149787,"reggaeton, trap latino, urbano latino"
Está Cabrón Ser Yo,Bad Bunny,YHLQMDLG,360,"reggaeton, trap latino, urbano latino"
P FKN R,Bad Bunny,YHLQMDLG,0,"reggaeton, trap latino, urbano latino"
Puesto Pa' Guerrial,Bad Bunny,YHLQMDLG,0,"reggaeton, trap latino, urbano latino"
BREAKTHROUGH - Korean Version,TWICE,Feel Special,2280,"k-pop, k-pop girl group, pop"
The Best Thing I Ever Did,TWICE,"The year of ""YES""",2010,"k-pop, k-pop girl group, pop"
Be as ONE,TWICE,"The year of ""YES""",860,"k-pop, k-pop girl group, pop"
LALALA,TWICE,"The year of ""YES""",1760,"k-pop, k-pop girl group, pop"
YOUNG & WILD,TWICE,"The year of ""YES""",1710,"k-pop, k-pop girl group, pop"
SUNSET,TWICE,"The year of ""YES""",70,"k-pop, k-pop girl group, pop"
Baby,Justin Bieber,My World 2.0,182027,"canadian pop, pop"
Somebody To Love,Justin Bieber,My World 2.0,220916,"canadian pop, pop"
get well soon,Ariana Grande,Sweetener,905,pop
better off,Ariana Grande,Sweetener,2504,pop
pete davidson,Ariana Grande,Sweetener,73794,pop
Gime,Danny Ocean,54+1,57140,"pop venezolano, reggaeton, trap latino, urbano latino"
Caro,Bad Bunny,X 100PRE,3621,"reggaeton, trap latino, urbano latino"
¿Cual Es Tu Plan?,Bad Bunny,¿Cual Es Tu Plan?,202,"reggaeton, trap latino, urbano latino"
Vamos Pa' la Calle,Bad Bunny,Vamos Pa' la Calle,5772,"reggaeton, trap latino, urbano latino"
SI ELLA SALE,Bad Bunny,LAS QUE NO IBAN A SALIR,97578,"reggaeton, trap latino, urbano latino"
BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,178000,"reggaeton, trap latino, urbano latino"
"SO HOT - THEBLACKLABEL REMIX BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",144166,"k-pop, k-pop girl group, pop"
Touchdown,TWICE,Page Two,202626,"k-pop, k-pop girl group, pop"
Do It Again,TWICE,The Story Begins,206546,"k-pop, k-pop girl group, pop"
BAD CON NICKY,Bad Bunny,LAS QUE NO IBAN A SALIR,24490,"reggaeton, trap latino, urbano latino"
