song,artist,album,ms,genres
Step On Up,Ariana Grande,Dangerous Woman,92053,pop
Jason's Song (Gave It Away),Ariana Grande,Dangerous Woman,4709,pop
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,THE GIRLS,162000,"k-pop, k-pop girl group, pop"
OH LA LA,Young Cister,LO MAS XULO DE TU INSTA,164210,"trap chileno, urbano chileno"
SAMURAI,Young Cister,THE LIFE OF XULO,600719,"trap chileno, urbano chileno"
SORRY PAPI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,8849,"reggaeton, trap latino, urbano latino"
LA TERAPIA REMIX,Young Cister,LA TERAPIA REMIX,10026,"trap chileno, urbano chileno"
Back for More (TXT Ver.),TOMORROW X TOGETHER,Back for More (More Edition),632,"k-pop, k-pop boy group"
Back for More (with Anitta) (House Remix),TOMORROW X TOGETHER,Back for More (More Edition),24187,"k-pop, k-pop boy group"
Volare,Danny Ocean,@dannocean,147598,"pop venezolano, reggaeton, trap latino, urbano latino"
MERCEDES CAROTA,Bad Bunny,nadie sabe lo que va a pasar mañana,27473,"reggaeton, trap latino, urbano latino"
Growing Pain,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,51053,"k-pop, k-pop boy group"
La Señal,Daddy Yankee,Mundial (Deluxe Version),7445,"latin hip hop, reggaeton, trap latino, urbano latino"
Social Path (Feat. LiSA) (Korean Ver.),Stray Kids,ROCK-STAR,197267,"k-pop, k-pop boy group, pop"
LALALALA (Rock Ver.),Stray Kids,ROCK-STAR,16575,"k-pop, k-pop boy group, pop"
De la Paz y de la Guerra,Daddy Yankee,Talento de Barrio,17465,"latin hip hop, reggaeton, trap latino, urbano latino"
Lose My Breath (Stray Kids Ver.),Stray Kids,Lose My Breath (Remixes),166913,"k-pop, k-pop boy group, pop"
DIFERENTE.,Young Cister,DIFERENTE.,6944,"trap chileno, urbano chileno"
I CAN’T STOP ME (feat. BOYS LIKE GIRLS),TWICE,THE REMIXES,206400,"k-pop, k-pop girl group, pop"
Chk Chk Boom,Stray Kids,ATE,194163,"k-pop, k-pop boy group, pop"
por la pequeña Venecia,Danny Ocean,venequia.,12823,"pop venezolano, reggaeton, trap latino, urbano latino"
miau,Young Cister,miau,185972,"trap chileno, urbano chileno"
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,1990,pop
the boy is mine,Ariana Grande,eternal sunshine,173639,pop
Dreamer,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,3580,"k-pop, k-pop boy group"
Deep Down,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,1690,"k-pop, k-pop boy group"
Skipping Stones,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,420,"k-pop, k-pop boy group"
Blue Spring,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,2630,"k-pop, k-pop boy group"
Chasing That Feeling (English Ver. – Digital Only),TOMORROW X TOGETHER,The Name Chapter: FREEFALL,860,"k-pop, k-pop boy group"
Back for More (with Anitta) (Afrobeats Remix),TOMORROW X TOGETHER,Back for More (More Edition),140,"k-pop, k-pop boy group"
Do It Like That (Jax Jones Remix),TOMORROW X TOGETHER,Do It Like That (Jax Jones Remix),6840,"k-pop, k-pop boy group"
Happy Fools (feat. Coi Leray),TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,1250,"k-pop, k-pop boy group"
Opening Sequence,TOMORROW X TOGETHER,minisode 2: Thursday's Child,1680,"k-pop, k-pop boy group"
MOA Diary (Dubaddu Wari Wari) - Japanese Ver.,TOMORROW X TOGETHER,Chaotic Wonderland,3330,"k-pop, k-pop boy group"
Más Risa Menos Pena <3,Matt Hunter,Más Risa Menos Pena <3,946,latin pop
misteriosa (xulinho),Young Cister,misteriosa (xulinho),5639,"trap chileno, urbano chileno"
CHICAS COMO TU,Young Cister,THE LIFE OF XULO,11350,"trap chileno, urbano chileno"
SLASH (From “Deadpool & Wolverine”),Stray Kids,SLASH (From “Deadpool & Wolverine”),191626,"k-pop, k-pop boy group, pop"
Chk Chk Boom (Deadeye Ver.),Stray Kids,Chk Chk Boom (Remixes),12271,"k-pop, k-pop boy group, pop"
MOUNTAINS,Stray Kids,ATE,187545,"k-pop, k-pop boy group, pop"
JJAM,Stray Kids,ATE,185527,"k-pop, k-pop boy group, pop"
I Like It,Stray Kids,ATE,148632,"k-pop, k-pop boy group, pop"
Runners,Stray Kids,ATE,196684,"k-pop, k-pop boy group, pop"
twilight,Stray Kids,ATE,192777,"k-pop, k-pop boy group, pop"
Stray Kids,Stray Kids,ATE,189050,"k-pop, k-pop boy group, pop"
Chk Chk Boom (Festival Ver.),Stray Kids,ATE,105676,"k-pop, k-pop boy group, pop"
Lose My Breath (Feat. Charlie Puth) (Instrumental),Stray Kids,Lose My Breath (Feat. Charlie Puth),0,"k-pop, k-pop boy group, pop"
NO ES AMOR,Danny Ocean,@dannocean,8490,"pop venezolano, reggaeton, trap latino, urbano latino"
40 GRADOS EN LA CIUDAD,Young Cister,THE LIFE OF XULO,9031,"trap chileno, urbano chileno"
Una Velita,Bad Bunny,Una Velita,218000,"reggaeton, trap latino, urbano latino"
Perfecta,Young Cister,PLANES DE MEDIANOCHE,1301,"trap chileno, urbano chileno"
PUERTO ESCONDIDO,Young Cister,PLANES DE MEDIANOCHE,681,"trap chileno, urbano chileno"
RICO,Young Cister,PLANES DE MEDIANOCHE,0,"trap chileno, urbano chileno"
CAPRIXOS,Young Cister,PLANES DE MEDIANOCHE,43044,"trap chileno, urbano chileno"
graciaaas :),Young Cister,PLANES DE MEDIANOCHE,0,"trap chileno, urbano chileno"
Vivo Cabrón,Young Cister,PLANES DE MEDIANOCHE,2565,"trap chileno, urbano chileno"
DOLCE,Young Cister,DOLCE,242006,"trap chileno, urbano chileno"
FIDEOS AFTER PARTY,Young Cister,THE LIFE OF XULO,156378,"trap chileno, urbano chileno"
Duro (feat. MC Buzzz),Young Cister,Duro (feat. MC Buzzz),56093,"trap chileno, urbano chileno"
Ay Dime,Young Cister,Ay Dime,187497,"trap chileno, urbano chileno"
SEROTONINA,Young Cister,THE LIFE OF XULO,82057,"trap chileno, urbano chileno"
janeiro,Young Cister,janeiro,22390,"trap chileno, urbano chileno"
Bellaka,Young Cister,PLANES DE MEDIANOCHE,7937,"trap chileno, urbano chileno"
Come Play (from the series Arcane League of Legends),Stray Kids,Come Play (from the series Arcane League of Legends),161666,"k-pop, k-pop boy group, pop"
2 Much,Justin Bieber,Justice,1910,"canadian pop, pop"
Deserve You,Justin Bieber,Justice,1750,"canadian pop, pop"
As I Am (feat. Khalid),Justin Bieber,Justice,1270,"canadian pop, pop"
Off My Face,Justin Bieber,Justice,6610,"canadian pop, pop"
Christmas Love,Stray Kids,GIANT,186200,"k-pop, k-pop boy group, pop"
Over The Moon,TOMORROW X TOGETHER,The Star Chapter: SANCTUARY (Expanded Edition),1161,"k-pop, k-pop boy group"
Chk Chk Boom -Japanese ver.-,Stray Kids,GIANT,27069,"k-pop, k-pop boy group, pop"
Look At Me,TWICE,Twicetagram,193146,"k-pop, k-pop girl group, pop"
Heaven,TOMORROW X TOGETHER,The Star Chapter: SANCTUARY (Expanded Edition),90013,"k-pop, k-pop boy group"
bye,Ariana Grande,eternal sunshine,1450,pop
intro (end of the world),Ariana Grande,eternal sunshine,92400,pop
Imagínate,Danny Ocean,Imagínate,24883,"pop venezolano, reggaeton, trap latino, urbano latino"
eternal sunshine,Ariana Grande,eternal sunshine,210200,pop
GIANT,Stray Kids,GIANT,0,"k-pop, k-pop boy group, pop"
NIGHT,Stray Kids,GIANT,175893,"k-pop, k-pop boy group, pop"
Falling Up,Stray Kids,GIANT,62905,"k-pop, k-pop boy group, pop"
Good Boy Gone Bad - Japanese Ver.,TOMORROW X TOGETHER,SWEET,60000,"k-pop, k-pop boy group"
